,subject,relation,object
2,Mohamed Salah,Place of birth, Nagrig 
26,Mohamed Salah,2011, Egypt 
6,Mohamed Salah,Height,1.75m (5ft 9in)
92,Albert Einstein,Influences, Isaac Newton
18,Mohamed Salah,20122014, Basel 
31,Nikola Tesla,Significant design, Tesla coil
70,Isaac Newton,Influenced, Locke
41,Stephen Hawking,Doctoral students,  Christophe Galfard  fr 
43,Albert Einstein,Spouse(s),  ( m. 1919 died
42,Nikola Tesla,Significant design, World Wireless System
27,Stephen Hawking,Institutions,Gonville and Caius College
11,Mohamed Salah,20042005,Ittihad Basyoun
9,Mohamed Salah,Current team, Liverpool 
12,Isaac Newton,known for, Universal gravitation
54,Nikola Tesla,Awards,  I Class
49,Isaac Newton,Influenced,  Boole
15,Isaac Newton,known for, Optics
36,Nikola Tesla,Significant design, Torpedo
38,Nikola Tesla,Significant design, Violet ray
47,Nikola Tesla,Awards, Order of St. Sava 
81,Isaac Newton,Political party,Whig 
16,Mohamed Salah,Years, Team 
24,Thomas Edison,known for, Kinetoscope 
28,Stephen Hawking,Institutions,  Cambridge California Institute of Technology Perimeter Institute for Theoretical Physics 
35,Ahmed Zewail,Thesis, (1975) 
63,Nikola Tesla,Awards,  Government of Czechoslovakia (1937)
24,Nikola Tesla,Significant design, Polyphase system
29,Nikola Tesla,Significant design, Telegeodynamics
37,Ahmed Zewail,Website,www .cce .caltech .edu people ahmed-h-zewail 
69,Albert Einstein,Institutions, Kaiser Wilhelm Institute (director
29,Ahmed Zewail,Fields, Chemistry
54,Isaac Newton,Influenced, 's Gravesande
71,Isaac Newton,Influenced, Saint-Simon
29,Isaac Newton,Awards, Knight Bachelor (1705) 
23,Albert Einstein,known for, Photoelectric effect
57,Nikola Tesla,Awards, John Scott Medal (1934)
50,Thomas Edison,Awards, John Fritz Medal (1908) 
61,Albert Einstein,Fields,  philosophy 
72,Albert Einstein,Institutions,  19161918)
21,Stephen Hawking,parent of ,3
28,Nikola Tesla,Significant design, Teleforce
29,Stephen Hawking,Thesis,Properties of Expanding Universes
20,Mohamed Salah,2015, Fiorentina (loan) 
72,Isaac Newton,Influenced, Verri
30,Stephen Hawking,Thesis, (1966) 
52,Stephen Hawking,Doctoral students,  
0,Stephen Hawking,date of death,03/14/2018
14,Stephen Hawking,Spouse(s),  ( m.
20,Thomas Edison,known for, Etheric force 
38,Thomas Edison,Spouse(s), 1886 )  
9,Nikola Tesla,education,Graz University of Technology (dropped out) 
35,Thomas Edison,Spouse(s), 1884 )  Mina Miller 
5,Nikola Tesla,Resting place, Belgrade 
32,Isaac Newton,Academic advisors,Isaac Barrow
52,Isaac Newton,Influenced, Clairaut
44,Albert Einstein,Spouse(s),  1936) 
48,Nikola Tesla,Awards,  II Class
56,Isaac Newton,Influenced, Laplace
13,Thomas Edison,known for, Edison screw 
67,Isaac Newton,Influenced, Jefferson
68,Isaac Newton,Influenced, Kant
7,Thomas Edison,education,Self-educated some coursework at Cooper Union 
50,Stephen Hawking,Doctoral students,  Alan Yuille Wu Zhongchao
44,Thomas Edison,parent of , Theodore Miller Edison
60,Nikola Tesla,Awards,  Government of Yugoslavia (1936)
0,Thomas Edison,date of death,10/18/2022
53,Albert Einstein,Awards, ForMemRS (1921)
46,Isaac Newton,Influenced, List
63,Albert Einstein,Institutions, University of Bern (19081909)
41,Nikola Tesla,Significant design, Wireless power transfer
59,Isaac Newton,Influenced, Newtonianism
47,Stephen Hawking,Doctoral students,  Malcolm Perry
4,Nikola Tesla,Resting place,Nikola Tesla Museum 
15,Stephen Hawking,Spouse(s), 1965  div. 1995) 
36,Thomas Edison,Spouse(s),  
18,Isaac Newton,known for, Newton's method
37,Isaac Newton,Influences, Boyle
90,Albert Einstein,Influences, Hendrik Lorentz
8,Thomas Edison,Occupation,Inventor
73,Isaac Newton,Influenced, Voltaire
40,Nikola Tesla,Significant design, Wardenclyffe Tower
21,Mohamed Salah,20152016, Roma (loan) 
16,Stephen Hawking,Spouse(s),  Elaine Mason
47,Thomas Edison,Awards,Matteucci Medal (1887) 
16,Albert Einstein,education," Federal polytechnic school in Zurich (Federal teaching diploma ,  1900) , University of Zurich (PhD ,  1905) , "
52,Albert Einstein,Awards, Matteucci Medal (1921)
83,Albert Einstein,Doctoral advisor,Alfred Kleiner 
53,Stephen Hawking,Website,www .hawking .org .uk 
85,Albert Einstein,Influences, Arthur Schopenhauer
0,Ali Moustafa Mosharafa,date of death,01/16/2022
42,Thomas Edison,parent of , Charles Edison 
27,Nikola Tesla,Significant design, Rotating magnetic field
50,Albert Einstein,Awards, Barnard Medal (1920)
25,Isaac Newton,known for, Newton's rings Standing on the shoulders of giants
14,Isaac Newton,known for, Newton's laws of motion
29,Thomas Edison,known for, Tasimeter 
67,Albert Einstein,Institutions, Prussian Academy of Sciences (19141933)
38,Albert Einstein,Spouse(s), Mileva Mari
53,Thomas Edison,Awards, Congressional Gold Medal (1928) 
1,Albert Einstein,place of death," Princeton,  New Jersey ,  U.S. "
27,Albert Einstein,known for, Einstein field equations
67,Nikola Tesla,Awards,  Bulgaria (1939)
50,Isaac Newton,Influenced, Einstein
26,Thomas Edison,known for, Phonograph 
52,Thomas Edison,Awards, Navy Distinguished Service Medal (1920) 
66,Nikola Tesla,Awards,  Sofia
49,Stephen Hawking,Doctoral students, Christopher Pope Marika Taylor
25,Albert Einstein,known for, Ehf (PlanckEinstein relation)
23,Mohamed Salah,2017, Liverpool 
27,Ahmed Zewail,Awards, Davy Medal (2011)
55,Isaac Newton,Influenced, Hamilton
62,Albert Einstein,Institutions, Swiss Patent Office ( Bern ) (19021909)
9,Stephen Hawking,known for, Hawking radiation A Brief History of Time PenroseHawking theorems Black hole information paradox Micro black hole Primordial black hole Chronology protection conjecture Soft hair (No hair theorem) BekensteinHawking formula Hawking energy HawkingPage phase transition GibbonsHawking ansatz GibbonsHawking effect GibbonsHawking space GibbonsHawkingYork boundary term HartleHawking state ThorneHawkingPreskill bet
62,Isaac Newton,Influenced, In the humanities
31,Isaac Newton,Institutions,University of Cambridge Royal Society Royal Mint 
51,Isaac Newton,Influenced, Euler
23,Ahmed Zewail,Awards, ForMemRS (2001)
31,Ahmed Zewail,Fields, University of California
8,Ahmed Zewail,Almamater,  M.S.)
55,Nikola Tesla,Awards,  Government of Yugoslavia (1926)
9,Ahmed Zewail,Almamater, University of Pennsylvania
19,Nikola Tesla,Significant design, Carbon button lamp
1,Nikola Tesla,place of death," New York City ,  New York,  U.S. "
34,Ahmed Zewail,Thesis,Optical and magnetic resonance spectra of triplet excitons and localized states in molecular crystals
40,Albert Einstein,Spouse(s),  ( m. 1903 div. 1919) 
46,Thomas Edison,Relatives,Lewis Miller (father-in-law) 
91,Albert Einstein,Influences, Hermann Minkowski
15,Ahmed Zewail,Awards,  E. Bright Wilson Award (1997)
68,Albert Einstein,Institutions, Humboldt University of Berlin (19141933)
87,Albert Einstein,Influences, Bernhard Riemann
15,Thomas Edison,known for, Edison's electric pen 
20,Ahmed Zewail,Awards,  Paul Karrer Gold Medal (1998)
43,Isaac Newton,Influences, Maimonides
27,Thomas Edison,known for, Phonomotor 
32,Ahmed Zewail,Fields,  Berkeley
19,Ahmed Zewail,Awards,  The Franklin Medal (United States) (1998)
17,Ahmed Zewail,Awards, Order of the Nile (1999)
51,Thomas Edison,Awards, Franklin Medal (1915) 
33,Albert Einstein,known for, EPR paradox
49,Thomas Edison,Awards, Edward Longstreth Medal (1899) 
1,Isaac Newton,place of death," , Kensington ,  Middlesex ,  Great Britain "
5,Isaac Newton,Resting place,Westminster Abbey 
30,Albert Einstein,known for, Gravitational wave
7,Ahmed Zewail,Almamater, (B.S.
53,Isaac Newton,Influenced, Chtelet
22,Nikola Tesla,Significant design, Plasma globe
0,Isaac Newton,date of death,03/31/1727
22,Mohamed Salah,20162017, Roma 
24,Ahmed Zewail,Awards,  Albert Einstein World Award of Science (2006)
23,Thomas Edison,known for, Grasshopper telegraphy 
19,Mohamed Salah,20142016, Chelsea 
97,Albert Einstein,Influences, Gottfried Wilhelm Leibniz
74,Isaac Newton,Influenced, Enlightenment philosophy in general
24,Isaac Newton,known for, Newtonian fluid
26,Nikola Tesla,Significant design, Resonant inductive coupling
18,Ahmed Zewail,Awards, E. O. Lawrence Award (1998)
56,Nikola Tesla,Awards, Order of the Yugoslav Crown (1931)
58,Nikola Tesla,Awards, Order of the White Eagle 
74,Albert Einstein,Institutions,  1920)
24,Mohamed Salah,20102011, Egypt U20 
13,Nikola Tesla,Projects, high-voltage
1,Ali Moustafa Mosharafa,place of death,  1950 (1950-01-16) (aged51) 
54,Albert Einstein,Awards,  Copley Medal (1925)
32,Nikola Tesla,Significant design, Tesla Experimental Station
26,Isaac Newton,known for, List of all other works and concepts
0,Ahmed Zewail,date of death,08/02/2022
16,Isaac Newton,known for, Binomial series
39,Nikola Tesla,Significant design, VTOL
65,Isaac Newton,Influenced, Hartley
38,Isaac Newton,Influences,  Descartes
41,Albert Einstein,Spouse(s),  Elsa Lwenthal
0,Mohamed Salah,Date of birth, ( 1992-06-15 ) 15 June 1992 (age29)
3,Mohamed Salah,Place of birth,  Basyoun 
3,Stephen Hawking,Resting place,Westminster Abbey
93,Albert Einstein,Influences, James Clerk Maxwell
11,Thomas Edison,known for,Edison effect 
6,Isaac Newton,education,"Trinity College ,  Cambridge ( M.A.  ,  1668) , "
6,Ahmed Zewail,Almamater, University of Alexandria
33,Stephen Hawking,Otheracademic advisors,Robert Berman
65,Albert Einstein,Institutions, Charles University in Prague (19111912)
48,Thomas Edison,Awards, John Scott Medal (1889) 
77,Albert Einstein,Institutions,  19311933)
4,Albert Einstein,country of citizenship,"German, Switzerland, Austria, German, Weimar Republic, United States"
16,Ahmed Zewail,Awards,  Nobel Prize for Chemistry (1999)
47,Albert Einstein,parent of , Hans Albert Einstein
46,Stephen Hawking,Doctoral students,  Don Page
35,Isaac Newton,Notable students,Roger Cotes William Whiston 
38,Stephen Hawking,Doctoral students,  Bernard Carr
78,Albert Einstein,Institutions, University of Oxford (visits
22,Thomas Edison,known for, Electric power distribution 
35,Albert Einstein,known for, List of other concepts
48,Isaac Newton,Influenced, In the natural sciences and mathematics
28,Albert Einstein,known for, BoseEinstein statistics
18,Thomas Edison,known for, Acoustic telegraphy 
64,Albert Einstein,Institutions, University of Zurich (19091911)
14,Ahmed Zewail,Awards, Peter Debye Award (1996)
58,Isaac Newton,Influenced, Routh
23,Stephen Hawking,Awards, See list
88,Albert Einstein,Influences, David Hume
65,Nikola Tesla,Awards, The Medal of the University St Clement of Ochrida
40,Isaac Newton,Influences, Huygens
96,Albert Einstein,Influences, Thomas Young
80,Isaac Newton,.mw-parser-output .nobold{font-weight:normal}16961699,Warden of the Mint 
21,Ahmed Zewail,Awards,  Tolman Award (1997)
33,Isaac Newton,Academic advisors, Benjamin Pulleyn
22,Isaac Newton,known for, Newton line
99,Albert Einstein,Influenced, Virtually all modern physicists
33,Thomas Edison,Spouse(s),  ( m.
10,Thomas Edison,Yearsactive,18771930 
40,Stephen Hawking,Doctoral students, Fay Dowker
10,Isaac Newton,known for, List
57,Albert Einstein,Awards, Member of the National Academy of Sciences (1942)
40,Thomas Edison,parent of ,  including Madeleine Edison 
50,Nikola Tesla,Awards, Elliott Cresson Medal (1894)
63,Isaac Newton,Influenced,  Berkeley
51,Albert Einstein,Awards, Nobel Prize in Physics (1921)
20,Isaac Newton,known for, Newton's identities
51,Stephen Hawking,Doctoral students,  27 others
8,Mohamed Salah,Position(s), Forward 
36,Ahmed Zewail,Doctoral advisor,Robin M. Hochstrasser 
9,Thomas Edison,Occupation,  businessman 
33,Nikola Tesla,Significant design, Tesla's oscillator
78,Isaac Newton,Preceded by,Isaac Barrow 
32,Albert Einstein,known for, Unified field theory
